section_id,pavement_type,seed,E_subgrade,eps_a_micro,eps_z_micro,sigma_t_MPa,p_AC_upper_mid,p_AC_mid_mid,p_AC_lower_mid,deflection_mm,h1_cm,h2_cm,h3_cm,h4_cm,h5_cm,E1_MPa,E2_MPa,E3_MPa,E4_MPa,E5_MPa,FEA_elapsed_s,status
12_1060,flexible,1,286.3278453829635,37.12,66.31,0.0005,0.7063,0.629,0.2707,,2.0,8.85,10.93,29.61,29.23,14758.0,10090.0,10021.0,167.0,100.0,41.8,ok
12_1060,flexible,2,286.3278453829635,37.12,66.31,0.0005,0.7063,0.629,0.2707,,2.0,8.85,10.93,29.61,29.23,14758.0,10090.0,10021.0,167.0,100.0,50.4,ok
12_4097,semi_rigid,0,286.3278453829635,20.11,22.27,0.0108,0.7103,0.5375,0.1343,,2.0,14.74,6.8,44.49,16.13,14043.0,10210.0,9118.0,1019.0,378.0,44.3,ok
12_4097,semi_rigid,1,286.3278453829635,20.11,22.27,0.0108,0.7103,0.5375,0.1343,,2.0,14.74,6.8,44.49,16.13,14043.0,10210.0,9118.0,1019.0,378.0,40.9,ok
12_4097,semi_rigid,2,286.3278453829635,20.11,22.27,0.0108,0.7103,0.5375,0.1343,,2.0,14.74,6.8,44.49,16.13,14043.0,10210.0,9118.0,1019.0,378.0,42.4,ok
16_1010,flexible,0,77.76805677068144,36.85,59.13,0.0022,0.7061,0.6266,0.255,,2.0,9.48,11.33,29.76,29.98,14844.0,10044.0,10092.0,157.0,100.0,41.6,ok
16_1010,flexible,1,77.76805677068144,36.85,59.13,0.0022,0.7061,0.6266,0.255,,2.0,9.48,11.33,29.76,29.98,14844.0,10044.0,10092.0,157.0,100.0,38.0,ok
16_1010,flexible,2,77.76805677068144,36.85,59.13,0.0022,0.7061,0.6266,0.255,,2.0,9.48,11.33,29.76,29.98,14844.0,10044.0,10092.0,157.0,100.0,35.8,ok
27_1085,flexible,0,86.2905835400712,36.65,58.93,0.0019,0.7061,0.6268,0.2555,,2.0,9.47,11.35,29.75,30.01,14853.0,10029.0,10107.0,154.0,100.0,50.9,ok
27_1085,flexible,1,86.2905835400712,36.65,58.93,0.0019,0.7061,0.6268,0.2555,,2.0,9.47,11.35,29.75,30.01,14853.0,10029.0,10107.0,154.0,100.0,42.3,ok
27_1085,flexible,2,86.2905835400712,36.65,58.93,0.0019,0.7061,0.6268,0.2555,,2.0,9.47,11.35,29.75,30.01,14853.0,10029.0,10107.0,154.0,100.0,38.1,ok
27_2023,semi_rigid,0,131.2335958005249,20.59,32.77,0.0146,0.7101,0.5369,0.1331,,2.0,14.75,6.74,44.47,16.18,14040.0,10208.0,9115.0,1017.0,379.0,41.1,ok
27_2023,semi_rigid,1,131.2335958005249,20.59,32.77,0.0146,0.7101,0.5369,0.1331,,2.0,14.75,6.74,44.47,16.18,14040.0,10208.0,9115.0,1017.0,379.0,39.2,ok
27_2023,semi_rigid,2,131.2335958005249,20.59,32.77,0.0146,0.7101,0.5369,0.1331,,2.0,14.75,6.74,44.47,16.18,14040.0,10208.0,9115.0,1017.0,379.0,41.5,ok
30_7076,semi_rigid,0,58.87114577967474,20.91,45.27,0.0187,0.71,0.5356,0.131,,2.0,14.85,6.71,44.52,16.27,14044.0,10209.0,9108.0,1018.0,379.0,41.9,ok
30_7076,semi_rigid,1,58.87114577967474,20.91,45.27,0.0187,0.71,0.5356,0.131,,2.0,14.85,6.71,44.52,16.27,14044.0,10209.0,9108.0,1018.0,379.0,42.2,ok
30_7076,semi_rigid,2,58.87114577967474,20.91,45.27,0.0187,0.71,0.5356,0.131,,2.0,14.85,6.71,44.52,16.27,14044.0,10209.0,9108.0,1018.0,379.0,42.0,ok
48_0001,flexible,0,699.912510936133,30.03,60.87,0.0,0.7088,0.6532,0.2282,,2.0,10.42,11.9,29.43,30.36,14927.0,9944.0,10208.0,158.0,100.0,42.2,ok
48_0001,flexible,1,699.912510936133,30.03,60.87,0.0,0.7088,0.6532,0.2282,,2.0,10.42,11.9,29.43,30.36,14927.0,9944.0,10208.0,158.0,100.0,55.7,ok
48_0001,flexible,2,699.912510936133,30.03,60.87,0.0,0.7088,0.6532,0.2282,,2.0,10.42,11.9,29.43,30.36,14927.0,9944.0,10208.0,158.0,100.0,55.9,ok
48_1076,flexible,0,114.5311381531854,36.46,60.01,0.0017,0.7062,0.6271,0.2584,,2.0,9.35,11.24,29.67,29.73,14817.0,10056.0,10071.0,162.0,100.0,52.4,ok
48_1076,flexible,1,114.5311381531854,36.46,60.01,0.0017,0.7062,0.6271,0.2584,,2.0,9.35,11.24,29.67,29.73,14817.0,10056.0,10071.0,162.0,100.0,53.1,ok
48_1076,flexible,2,114.5311381531854,36.46,60.01,0.0017,0.7062,0.6271,0.2584,,2.0,9.35,11.24,29.67,29.73,14817.0,10056.0,10071.0,162.0,100.0,47.3,ok
48_1109,semi_rigid,0,99.98750156230471,20.8,37.1,0.0162,0.7101,0.5382,0.1347,,2.0,14.63,6.75,44.33,16.24,14040.0,10221.0,9111.0,1025.0,379.0,53.9,ok
48_1109,semi_rigid,1,99.98750156230471,20.8,37.1,0.0162,0.7101,0.5382,0.1347,,2.0,14.63,6.75,44.33,16.24,14040.0,10221.0,9111.0,1025.0,379.0,54.8,ok
48_1109,semi_rigid,2,99.98750156230471,20.8,37.1,0.0162,0.7101,0.5382,0.1347,,2.0,14.63,6.75,44.33,16.24,14040.0,10221.0,9111.0,1025.0,379.0,53.8,ok
